Region,Region_cleaned,Latitude,Longitude
Basel-Binningen,Basel-Binningen,47.53796,7.57111
Bern-Zollikofen 1),Bern-Zollikofen,46.99832,7.45109
Davos WSL 2),Davos,46.802746,9.83597
Genf-Cointrin,Genf-Cointrin,46.22783,6.10424
Locarno-Monti,Locarno-Monti,46.170979,8.79112
Lugano,Lugano,46.003601,8.95362
Luzern,Luzern,47.04554,8.30801
Neuenburg         ,Neuenburg      ,48.84655 ,8.588410
Säntis,Säntis,47.256459,9.317421
Samedan,Samedan,46.438365,9.870266
Sitten,Sitten,46.2276,7.359943
St. Gallen,St. Gallen,47.42448,9.376717
Zürich-Fluntern,Zürich-Fluntern,47.382097,8.566803
