Year,Country,alpha_3,Region,Latitude,Longitude,Jahresniederschlag
1931,Switzerland,CHE,Basel-Binningen,47.53796,7.571110000000001,816.0
1932,Switzerland,CHE,Basel-Binningen,47.53796,7.571110000000001,738.0
1933,Switzerland,CHE,Basel-Binningen,47.53796,7.571110000000001,684.9
1934,Switzerland,CHE,Basel-Binningen,47.53796,7.571110000000001,661.3
1935,Switzerland,CHE,Basel-Binningen,47.53796,7.571110000000001,888.6
1936,Switzerland,CHE,Basel-Binningen,47.53796,7.571110000000001,869.8
1937,Switzerland,CHE,Basel-Binningen,47.53796,7.571110000000001,803.5
1938,Switzerland,CHE,Basel-Binningen,47.53796,7.571110000000001,911.4
1939,Switzerland,CHE,Basel-Binningen,47.53796,7.571110000000001,1204.6
1940,Switzerland,CHE,Basel-Binningen,47.53796,7.571110000000001,959.4
1941,Switzerland,CHE,Basel-Binningen,47.53796,7.571110000000001,690.7
1942,Switzerland,CHE,Basel-Binningen,47.53796,7.571110000000001,761.7
1943,Switzerland,CHE,Basel-Binningen,47.53796,7.571110000000001,572.0
1944,Switzerland,CHE,Basel-Binningen,47.53796,7.571110000000001,830.4
1945,Switzerland,CHE,Basel-Binningen,47.53796,7.571110000000001,644.6
1946,Switzerland,CHE,Basel-Binningen,47.53796,7.571110000000001,752.4
1947,Switzerland,CHE,Basel-Binningen,47.53796,7.571110000000001,513.7
1948,Switzerland,CHE,Basel-Binningen,47.53796,7.571110000000001,785.9
1949,Switzerland,CHE,Basel-Binningen,47.53796,7.571110000000001,568.6
1950,Switzerland,CHE,Basel-Binningen,47.53796,7.571110000000001,940.8
1951,Switzerland,CHE,Basel-Binningen,47.53796,7.571110000000001,950.4
1952,Switzerland,CHE,Basel-Binningen,47.53796,7.571110000000001,920.8
1953,Switzerland,CHE,Basel-Binningen,47.53796,7.571110000000001,498.9
1954,Switzerland,CHE,Basel-Binningen,47.53796,7.571110000000001,876.4
1955,Switzerland,CHE,Basel-Binningen,47.53796,7.571110000000001,892.1
1956,Switzerland,CHE,Basel-Binningen,47.53796,7.571110000000001,849.4
1957,Switzerland,CHE,Basel-Binningen,47.53796,7.571110000000001,702.6
1958,Switzerland,CHE,Basel-Binningen,47.53796,7.571110000000001,774.7
1959,Switzerland,CHE,Basel-Binningen,47.53796,7.571110000000001,702.6
1960,Switzerland,CHE,Basel-Binningen,47.53796,7.571110000000001,796.8
1961,Switzerland,CHE,Basel-Binningen,47.53796,7.571110000000001,732.2
1962,Switzerland,CHE,Basel-Binningen,47.53796,7.571110000000001,613.8
