Year,Country,alpha_3,Region,Latitude,Longitude,Jahrestemperatur
1931,Switzerland,CHE,Basel-Binningen,47.53796,7.571110000000001,8.5
1932,Switzerland,CHE,Basel-Binningen,47.53796,7.571110000000001,8.9
1933,Switzerland,CHE,Basel-Binningen,47.53796,7.571110000000001,8.8
1934,Switzerland,CHE,Basel-Binningen,47.53796,7.571110000000001,9.9
1935,Switzerland,CHE,Basel-Binningen,47.53796,7.571110000000001,9.4
1936,Switzerland,CHE,Basel-Binningen,47.53796,7.571110000000001,9.5
1937,Switzerland,CHE,Basel-Binningen,47.53796,7.571110000000001,9.8
1938,Switzerland,CHE,Basel-Binningen,47.53796,7.571110000000001,9.3
1939,Switzerland,CHE,Basel-Binningen,47.53796,7.571110000000001,9.1
1940,Switzerland,CHE,Basel-Binningen,47.53796,7.571110000000001,8.2
1941,Switzerland,CHE,Basel-Binningen,47.53796,7.571110000000001,8.4
1942,Switzerland,CHE,Basel-Binningen,47.53796,7.571110000000001,8.8
1943,Switzerland,CHE,Basel-Binningen,47.53796,7.571110000000001,10.2
1944,Switzerland,CHE,Basel-Binningen,47.53796,7.571110000000001,9.3
1945,Switzerland,CHE,Basel-Binningen,47.53796,7.571110000000001,10.0
1946,Switzerland,CHE,Basel-Binningen,47.53796,7.571110000000001,9.5
1947,Switzerland,CHE,Basel-Binningen,47.53796,7.571110000000001,10.5
1948,Switzerland,CHE,Basel-Binningen,47.53796,7.571110000000001,9.9
1949,Switzerland,CHE,Basel-Binningen,47.53796,7.571110000000001,10.4
1950,Switzerland,CHE,Basel-Binningen,47.53796,7.571110000000001,10.0
1951,Switzerland,CHE,Basel-Binningen,47.53796,7.571110000000001,9.6
1952,Switzerland,CHE,Basel-Binningen,47.53796,7.571110000000001,9.7
1953,Switzerland,CHE,Basel-Binningen,47.53796,7.571110000000001,9.6
1954,Switzerland,CHE,Basel-Binningen,47.53796,7.571110000000001,9.0
1955,Switzerland,CHE,Basel-Binningen,47.53796,7.571110000000001,9.1
1956,Switzerland,CHE,Basel-Binningen,47.53796,7.571110000000001,7.9
1957,Switzerland,CHE,Basel-Binningen,47.53796,7.571110000000001,9.5
1958,Switzerland,CHE,Basel-Binningen,47.53796,7.571110000000001,9.6
1959,Switzerland,CHE,Basel-Binningen,47.53796,7.571110000000001,10.2
1960,Switzerland,CHE,Basel-Binningen,47.53796,7.571110000000001,9.6
1961,Switzerland,CHE,Basel-Binningen,47.53796,7.571110000000001,10.5
1962,Switzerland,CHE,Basel-Binningen,47.53796,7.571110000000001,8.6
1963,Switzerland,CHE,Basel-Binningen,47.53796,7.571110000000001,8.5
1964,Switzerland,CHE,Basel-Binningen,47.53796,7.571110000000001,9.8
1965,Switzerland,CHE,Basel-Binningen,47.53796,7.571110000000001,9.2
1966,Switzerland,CHE,Basel-Binningen,47.53796,7.571110000000001,9.9
1967,Switzerland,CHE,Basel-Binningen,47.53796,7.571110000000001,9.8
1968,Switzerland,CHE,Basel-Binningen,47.53796,7.571110000000001,9.3
1969,Switzerland,CHE,Basel-Binningen,47.53796,7.571110000000001,9.0
1970,Switzerland,CHE,Basel-Binningen,47.53796,7.571110000000001,9.2
1971,Switzerland,CHE,Basel-Binningen,47.53796,7.571110000000001,9.3
1972,Switzerland,CHE,Basel-Binningen,47.53796,7.571110000000001,8.9
1973,Switzerland,CHE,Basel-Binningen,47.53796,7.571110000000001,9.2
1974,Switzerland,CHE,Basel-Binningen,47.53796,7.571110000000001,10.0
1975,Switzerland,CHE,Basel-Binningen,47.53796,7.571110000000001,9.7
1976,Switzerland,CHE,Basel-Binningen,47.53796,7.571110000000001,10.0
1977,Switzerland,CHE,Basel-Binningen,47.53796,7.571110000000001,9.9
1978,Switzerland,CHE,Basel-Binningen,47.53796,7.571110000000001,9.0
1979,Switzerland,CHE,Basel-Binningen,47.53796,7.571110000000001,9.5
1980,Switzerland,CHE,Basel-Binningen,47.53796,7.571110000000001,8.9
1981,Switzerland,CHE,Basel-Binningen,47.53796,7.571110000000001,9.6
1982,Switzerland,CHE,Basel-Binningen,47.53796,7.571110000000001,10.3
1983,Switzerland,CHE,Basel-Binningen,47.53796,7.571110000000001,10.3
1984,Switzerland,CHE,Basel-Binningen,47.53796,7.571110000000001,9.5
1985,Switzerland,CHE,Basel-Binningen,47.53796,7.571110000000001,9.0
1986,Switzerland,CHE,Basel-Binningen,47.53796,7.571110000000001,9.4
1987,Switzerland,CHE,Basel-Binningen,47.53796,7.571110000000001,9.5
1988,Switzerland,CHE,Basel-Binningen,47.53796,7.571110000000001,10.5
